location,NO2Level,TSGAS,JamFactor,TSJAM,lat,lon,ts 
KC4,46.4,2016-04-16 11:00:00,5.18247,2016-04-16T12:17:29.000+0000,51.48743685,-0.168397129,1460809111247 
KC4,58.3,2016-04-16 22:00:00,2.87049,2016-04-16T23:47:32.000+0000,51.48743685,-0.168397129,1460850511635 
KC5,98.6,2016-04-16 16:00:00,4.94897,2016-04-16T17:17:31.000+0000,51.49019756,-0.190863311,1460827111423 
KC3,69.7,2016-04-13 21:00:00,0.77593,2016-04-17T00:47:32.000+0000,51.49913951,-0.164337605,1460854111677 
KC3,69.7,2016-04-13 21:00:00,0.01134,2016-04-16T01:48:20.000+0000,51.49913951,-0.164337605,1460771310936 
KC4,38.6,2016-04-16 00:00:00,0.4993,2016-04-16T01:48:20.000+0000,51.48743685,-0.168397129,1460771310936 
KC5,32.9,2016-04-16 01:00:00,1.47558,2016-04-16T02:48:21.000+0000,51.49019756,-0.190863311,1460774910971 
KC3,69.7,2016-04-13 21:00:00,0,2016-04-16T02:48:21.000+0000,51.49913951,-0.164337605,1460774910971 
KC3,69.7,2016-04-13 21:00:00,0,2016-04-17T06:02:32.000+0000,51.49913951,-0.164337605,1460873011875 
KC4,29.7,2016-04-16 01:00:00,2.22052,2016-04-16T02:18:21.000+0000,51.48743685,-0.168397129,1460773110951 
KC4,46.4,2016-04-16 06:00:00,1.87922,2016-04-16T07:17:24.000+0000,51.48743685,-0.168397129,1460791111065 
KC5,77.8,2016-04-16 06:00:00,2.78563,2016-04-16T07:17:24.000+0000,51.49019756,-0.190863311,1460791111065 
KC5,81,2016-04-16 23:00:00,4.56157,2016-04-17T00:47:32.000+0000,51.49019756,-0.190863311,1460854111677 
KC3,69.7,2016-04-13 21:00:00,5.5016,2016-04-16T14:02:30.000+0000,51.49913951,-0.164337605,1460815411303 
KC5,69.9,2016-04-16 11:00:00,5.4084,2016-04-16T12:32:29.000+0000,51.49019756,-0.190863311,1460810011257 
KC4,58.3,2016-04-16 22:00:00,2.26443,2016-04-16T23:32:32.000+0000,51.48743685,-0.168397129,1460849611617 
KC3,69.7,2016-04-13 21:00:00,3.44211,2016-04-16T23:32:32.000+0000,51.49913951,-0.164337605,1460849611617 
KC5,58.9,2016-04-17 06:00:00,0.41445,2016-04-17T07:32:33.000+0000,51.49019756,-0.190863311,1460878411917 
KC3,69.7,2016-04-13 21:00:00,6.09955,2016-04-16T13:17:29.000+0000,51.49913951,-0.164337605,1460812711277 
KC4,26.1,2016-04-16 04:00:00,0.3421,2016-04-16T05:33:22.000+0000,51.48743685,-0.168397129,1460784811015 
KC5,33.8,2016-04-16 04:00:00,4.2955,2016-04-16T05:33:22.000+0000,51.49019756,-0.190863311,1460784811015 
KC3,69.7,2016-04-13 21:00:00,1.06793,2016-04-16T05:33:22.000+0000,51.49913951,-0.164337605,1460784811015 
KC3,69.7,2016-04-13 21:00:00,3.86576,2016-04-16T20:02:32.000+0000,51.49913951,-0.164337605,1460837011511 
KC4,58.3,2016-04-16 22:00:00,1.58561,2016-04-16T23:17:32.000+0000,51.48743685,-0.168397129,1460848711598 
KC3,69.7,2016-04-13 21:00:00,0.05622,2016-04-16T23:17:32.000+0000,51.49913951,-0.164337605,1460848711598 
KC4,54.1,2016-04-16 20:00:00,4.61184,2016-04-16T22:02:33.000+0000,51.48743685,-0.168397129,1460844211581 
KC5,81.6,2016-04-16 14:00:00,4.74797,2016-04-16T16:02:30.000+0000,51.49019756,-0.190863311,1460822611381 
KC4,38.5,2016-04-17 09:00:00,3.6267,2016-04-17T10:32:33.000+0000,51.48743685,-0.168397129,1460889212024 
KC5,68.3,2016-04-17 07:00:00,1.54399,2016-04-17T08:32:33.000+0000,51.49019756,-0.190863311,1460882011930 
KC5,55.1,2016-04-16 12:00:00,4.73898,2016-04-16T14:02:30.000+0000,51.49019756,-0.190863311,1460815411303 
KC5,106.6,2016-04-15 20:00:00,2.70341,2016-04-15T21:18:16.000+0000,51.49019756,-0.190863311,1460755126575 
KC5,82.2,2016-04-16 20:00:00,4.67375,2016-04-16T21:17:32.000+0000,51.49019756,-0.190863311,1460841511563 
KC5,72.6,2016-04-16 15:00:00,4.5117,2016-04-16T17:02:30.000+0000,51.49019756,-0.190863311,1460826211415 
KC4,59.8,2016-04-16 15:00:00,6.11605,2016-04-16T17:02:30.000+0000,51.48743685,-0.168397129,1460826211415 
KC4,59.8,2016-04-16 16:00:00,5.53979,2016-04-16T18:02:32.000+0000,51.48743685,-0.168397129,1460829811435 
KC3,69.7,2016-04-13 21:00:00,4.11763,2016-04-16T18:02:32.000+0000,51.49913951,-0.164337605,1460829811435 
KC3,69.7,2016-04-13 21:00:00,2.95365,2016-04-17T09:47:33.000+0000,51.49913951,-0.164337605,1460886511995 
KC3,69.7,2016-04-13 21:00:00,6.33451,2016-04-16T15:47:30.000+0000,51.49913951,-0.164337605,1460821711374 
KC5,82.5,2016-04-16 22:00:00,0.40708,2016-04-17T00:02:32.000+0000,51.49019756,-0.190863311,1460851411649 
KC3,69.7,2016-04-13 21:00:00,0.05523,2016-04-17T02:32:32.000+0000,51.49913951,-0.164337605,1460860411736 
KC4,67.5,2016-04-17 01:00:00,0.83877,2016-04-17T02:32:32.000+0000,51.48743685,-0.168397129,1460860411736 
KC5,68.9,2016-04-16 13:00:00,5.2057,2016-04-16T15:02:30.000+0000,51.49019756,-0.190863311,1460819011347 
KC3,69.7,2016-04-13 21:00:00,5.79088,2016-04-16T15:02:30.000+0000,51.49913951,-0.164337605,1460819011347 
KC4,52.3,2016-04-16 13:00:00,4.49545,2016-04-16T15:02:30.000+0000,51.48743685,-0.168397129,1460819011347 
KC4,72.9,2016-04-16 21:00:00,3.48017,2016-04-16T22:32:32.000+0000,51.48743685,-0.168397129,1460846011588 
KC5,55.5,2016-04-17 05:00:00,0.62856,2016-04-17T06:47:33.000+0000,51.49019756,-0.190863311,1460875711899 
KC4,55,2016-04-17 05:00:00,0,2016-04-17T06:47:33.000+0000,51.48743685,-0.168397129,1460875711899 
KC3,69.7,2016-04-13 21:00:00,6.6518,2016-04-16T17:32:31.000+0000,51.49913951,-0.164337605,1460828011428 
KC5,98.6,2016-04-16 16:00:00,4.28484,2016-04-16T17:32:31.000+0000,51.49019756,-0.190863311,1460828011428 
KC3,69.7,2016-04-13 21:00:00,1.78286,2016-04-16T00:03:19.000+0000,51.49913951,-0.164337605,1460765010894 
KC4,48.3,2016-04-16 10:00:00,5.2175,2016-04-16T11:47:29.000+0000,51.48743685,-0.168397129,1460807311206 
KC4,55.4,2016-04-17 02:00:00,0.4594,2016-04-17T03:47:32.000+0000,51.48743685,-0.168397129,1460864911762 
KC3,69.7,2016-04-13 21:00:00,5.5126,2016-04-16T21:17:32.000+0000,51.49913951,-0.164337605,1460841511563 
KC5,72.6,2016-04-16 15:00:00,4.94688,2016-04-16T16:47:31.000+0000,51.49019756,-0.190863311,1460825311407 
KC4,34.9,2016-04-16 05:00:00,1.57472,2016-04-16T07:02:24.000+0000,51.48743685,-0.168397129,1460790211060 
KC5,62.6,2016-04-16 05:00:00,4.13116,2016-04-16T07:02:24.000+0000,51.49019756,-0.190863311,1460790211060 
KC3,69.7,2016-04-13 21:00:00,0,2016-04-17T06:17:33.000+0000,51.49913951,-0.164337605,1460873911884 
KC5,76.4,2016-04-17 09:00:00,5.29887,2016-04-17T10:17:33.000+0000,51.49019756,-0.190863311,1460888312014 
KC3,69.7,2016-04-13 21:00:00,0.99798,2016-04-16T03:48:21.000+0000,51.49913951,-0.164337605,1460778510987 
KC4,22.8,2016-04-16 02:00:00,0.76691,2016-04-16T03:48:21.000+0000,51.48743685,-0.168397129,1460778510987 
KC3,69.7,2016-04-13 21:00:00,1.32751,2016-04-16T23:47:32.000+0000,51.49913951,-0.164337605,1460850511635 
KC5,86.5,2016-04-16 08:00:00,3.71221,2016-04-16T09:47:29.000+0000,51.49019756,-0.190863311,1460800111104 
KC3,69.7,2016-04-13 21:00:00,4.29409,2016-04-16T21:32:32.000+0000,51.49913951,-0.164337605,1460842411572 
KC5,82.2,2016-04-16 20:00:00,4.04405,2016-04-16T21:32:32.000+0000,51.49019756,-0.190863311,1460842411572 
KC3,69.7,2016-04-13 21:00:00,0,2016-04-16T05:03:22.000+0000,51.49913951,-0.164337605,1460783011009 
KC4,23.3,2016-04-16 03:00:00,0,2016-04-16T05:03:22.000+0000,51.48743685,-0.168397129,1460783011009 
